,id,city,community,latitude,longitude,link,type,price,beds,sq_feet,baths,cats,dogs,has_den,last_update,is_active,activation_date
27,549453,Calgary,Alpine Park,50.9194479,-114.1518579,/ab/calgary/rentals/basement/1-bedroom/alpine-park/pet-friendly/549453,Basement,1450,1,,1.0,True,True,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
28,548968,Calgary,Alpine Park,50.9194479,-114.1518579,/ab/calgary/rentals/house/3-bedrooms/alpine-park/pet-friendly/548968,House,2500,3,,2.5,True,True,True,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
29,546239,Calgary,Alpine Park,50.9166452,-114.142523,/ab/calgary/rentals/house/3-bedrooms/alpine-park/non-smoking/546239,House,3850,3,,2.5,False,False,True,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
30,545650,Calgary,Alpine Park,50.9178464,-114.1418612,/ab/calgary/rentals/house/3-bedrooms/alpine-park/non-smoking/545650,House,3199,3,,2.5,False,False,True,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
31,544558,Calgary,Alpine Park,50.917090693894,-114.155373530689,/ab/calgary/rentals/house/3-bedrooms/alpine-park/non-smoking/544558,House,2300,3,,2.5,False,False,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
32,546956,Calgary,Alpine Park,50.9194479,-114.1518579,/ab/calgary/rentals/townhouse/3-bedrooms/alpine-park/non-smoking/546956,Townhouse,2300,3,,2.5,False,False,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
33,468619,Calgary,Altadore,51.0229848,-114.1098195,/ab/calgary/rentals/apartment/1-bedroom/altadore/pet-friendly/468619,Apartment,1998,1,,1.0,True,True,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
34,551170,Calgary,Altadore,51.030167459875,-114.103728378052,/ab/calgary/rentals/storage/altadore/non-smoking/551170,Storage,250,,,0.0,False,False,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
35,451710,Calgary,Altadore,51.0230343,-114.0973367,/ab/calgary/rentals/condo/1-bedroom/altadore/pet-friendly/451710,Condo Unit,1575,1,,1.0,True,True,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
36,539420,Calgary,Altadore,51.0223444,-114.1059272,/ab/calgary/rentals/condo/studio/altadore/pet-friendly/539420,Condo Unit,1395,0,,1.0,True,True,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
37,552056,Calgary,Altadore,51.0101603,-114.1140202,/ab/calgary/rentals/townhouse/3-bedrooms/altadore/pet-friendly/552056,Townhouse,2650,3,,2.0,True,True,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
38,551963,Calgary,Altadore,51.0171792,-114.1030977,/ab/calgary/rentals/duplex/4-bedrooms/altadore/pet-friendly/551963,Duplex,4095,4,,4.5,False,True,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
