,id,city,community,latitude,longitude,link,type,price,beds,sq_feet,baths,cats,dogs,has_den,last_update,is_active,activation_date
25,45393,Calgary,Albert Park,51.051914430841,-113.997605740361,/ab/calgary/rentals/duplex/2-bedrooms/albert-park/furnished/45393,Duplex,1600,2,1020,1.5,False,False,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
26,565552,Calgary,Albert Park,51.0417615,-113.9971568,/ab/calgary/rentals/condo/2-bedrooms/albert-park/non-smoking/565552,Condo Unit,2200,2,874,2.0,False,False,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
27,68862,Calgary,Albert Park,51.040134552988,-113.998678539553,/ab/calgary/rentals/basement/2-bedrooms/albert-park/pet-friendly/68862,Basement,1850,2,1100,1.0,True,False,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
28,121694,Calgary,Albert Park,51.0419412,-113.9955723,/ab/calgary/rentals/apartment/2-bedrooms/albert-park/non-smoking/121694,Apartment,2150,2,812,2.0,False,False,True,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
29,46499,Calgary,Albert Park,51.0412915,-113.994723,/ab/calgary/rentals/basement/2-bedrooms/albert-park/pet-friendly/46499,Basement,1398,2,800,1.0,True,False,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
30,38006,Calgary,Albert Park,51.03989,-113.99646,/ab/calgary/rentals/main-floor/2-bedrooms/albert-park/pet-friendly/38006,Main Floor,1749,2,1000,1.0,True,False,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
31,332336,Calgary,Albert Park,51.0389102,-113.9964478,/ab/calgary/rentals/main-floor/2-bedrooms/albert-park/pet-friendly/332336,Main Floor,1789,2,900,1.0,True,False,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
32,545650,Calgary,Alpine Park,50.923318706723,-114.138857125903,/ab/calgary/rentals/house/3-bedrooms/alpine-park/non-smoking/545650,House,3099,3,1843,2.5,False,False,True,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
33,564896,Calgary,Alpine Park,50.9183483,-114.1554984,/ab/calgary/rentals/basement/1-bedroom/alpine-park/non-smoking/564896,Basement,1500,1,650,1.0,False,False,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
34,566718,Calgary,Alpine Park,50.9159353,-114.1429792,/ab/calgary/rentals/townhouse/3-bedrooms/alpine-park/non-smoking/566718,Townhouse,2600,3,1675,2.5,False,False,True,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
35,563782,Calgary,Alpine Park,50.9177218,-114.1530077,/ab/calgary/rentals/basement/2-bedrooms/alpine-park/non-smoking/563782,Basement,1900,2,761,1.0,False,False,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
36,468619,Calgary,Altadore,51.0229848,-114.1098195,/ab/calgary/rentals/apartment/1-bedroom/altadore/pet-friendly/468619,Apartment,2025,1,536,1.0,True,True,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
37,500104,Calgary,Altadore,51.0274684,-114.1172478,/ab/calgary/rentals/house/2-bedrooms/altadore/pet-friendly/500104,House,2495,2,845,1.0,True,True,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
38,113609,Calgary,Altadore,50.97223,-114.08725,/ab/calgary/rentals/apartment/2-bedrooms/altadore/non-smoking/113609,Apartment,1795,2,800,1.0,False,False,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
39,529850,Calgary,Altadore,51.023019,-114.0980544,/ab/calgary/rentals/condo/2-bedrooms/altadore/non-smoking/529850,Condo Unit,2475,2,965,2.0,False,False,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
40,564720,Calgary,Altadore,51.0234955,-114.1157862,/ab/calgary/rentals/condo/1-bedroom/altadore/non-smoking/564720,Condo Unit,1800,1,637,1.0,False,False,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
41,551170,Calgary,Altadore,51.030167459875,-114.103728378052,/ab/calgary/rentals/storage/altadore/non-smoking/551170,Storage,250,,,0.0,False,False,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
42,538239,Calgary,Altadore,51.0220058,-114.1095499,/ab/calgary/rentals/condo/2-bedrooms/altadore/pet-friendly/538239,Condo Unit,1999,2,1000,1.0,True,True,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
43,445778,Calgary,Altadore,51.022585,-114.100089,/ab/calgary/rentals/apartment/1-bedroom/altadore/non-smoking/445778,Apartment,1450,1,550,1.0,False,False,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
44,564345,Calgary,Altadore,51.0091335,-114.1031504,/ab/calgary/rentals/townhouse/3-bedrooms/altadore/pet-friendly/564345,Townhouse,4500,3,1800,4.0,False,True,True,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
45,505310,Calgary,Altadore,51.0228138,-114.0950821,/ab/calgary/rentals/storage/altadore/non-smoking/505310,Storage,165,,,0.0,False,False,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
46,338557,Calgary,Altadore,51.0230615,-114.0970589,/ab/calgary/rentals/apartment/2-bedrooms/altadore/non-smoking/338557,Apartment,1800,2,850,1.0,False,False,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
47,567110,Calgary,Altadore,51.0222896,-114.0988272,/ab/calgary/rentals/condo/1-bedroom/altadore/pet-friendly/567110,Condo Unit,2100,1,655,1.0,True,True,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
48,72427,Calgary,Altadore,51.019589644772,-114.10032390213,/ab/calgary/rentals/house/4-bedrooms/altadore/pet-friendly/72427,House,3950,4,1960,3.5,True,True,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
49,565514,Calgary,Altadore,51.0227454,-114.1024247,/ab/calgary/rentals/townhouse/2-bedrooms/altadore/furnished/565514,Townhouse,3250,2,1200,2.0,False,False,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
50,488380,Calgary,Altadore,51.021769702588,-114.111696149182,/ab/calgary/rentals/condo/1-bedroom/altadore/pet-friendly/488380,Condo Unit,2750,1,1030,1.5,True,True,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
51,431068,Calgary,Altadore,51.0141191,-114.1037426,/ab/calgary/rentals/house/4-bedrooms/altadore/non-smoking/431068,House,5500,4,,3.0,False,False,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
